hex_id,time_bin,season,count
-14666_6822,Afternoon (12-17),Winter,0
-14666_6822,Afternoon (12-17),Spring,0
-14666_6822,Afternoon (12-17),Summer,2
-14666_6822,Afternoon (12-17),Fall,0
-14666_6822,Evening (18-23),Winter,0
-14666_6822,Evening (18-23),Spring,3
-14666_6822,Evening (18-23),Summer,1
-14666_6822,Evening (18-23),Fall,0
-14666_6823,Night (00-05),Winter,0
-14666_6823,Night (00-05),Spring,0
-14666_6823,Night (00-05),Summer,0
-14666_6823,Night (00-05),Fall,0
-14666_6823,Morning (06-11),Winter,0
-14666_6823,Morning (06-11),Spring,0
-14666_6823,Morning (06-11),Summer,0
-14666_6823,Morning (06-11),Fall,0
-14666_6823,Afternoon (12-17),Winter,0
-14666_6823,Afternoon (12-17),Spring,1
-14666_6823,Afternoon (12-17),Summer,0
-14666_6823,Afternoon (12-17),Fall,0
-14666_6823,Evening (18-23),Winter,0
-14666_6823,Evening (18-23),Spring,0
-14666_6823,Evening (18-23),Summer,0
-14666_6823,Evening (18-23),Fall,0
-14666_6824,Night (00-05),Winter,0
-14666_6824,Night (00-05),Spring,0
-14666_6824,Night (00-05),Summer,0
-14666_6824,Night (00-05),Fall,1
-14666_6824,Morning (06-11),Winter,0
-14666_6824,Morning (06-11),Spring,0
-14666_6824,Morning (06-11),Summer,0
-14666_6824,Morning (06-11),Fall,0
-14666_6824,Afternoon (12-17),Winter,0
-14666_6824,Afternoon (12-17),Spring,0
-14666_6824,Afternoon (12-17),Summer,0
-14666_6824,Afternoon (12-17),Fall,0
-14666_6824,Evening (18-23),Winter,0
-14666_6824,Evening (18-23),Spring,0
-14666_6824,Evening (18-23),Summer,0
-14666_6824,Evening (18-23),Fall,0
-14666_6825,Night (00-05),Winter,0
-14666_6825,Night (00-05),Spring,0
-14666_6825,Night (00-05),Summer,0
-14666_6825,Night (00-05),Fall,0
-14666_6825,Morning (06-11),Winter,0
-14666_6825,Morning (06-11),Spring,0
-14666_6825,Morning (06-11),Summer,0
-14666_6825,Morning (06-11),Fall,0
-14666_6825,Afternoon (12-17),Winter,1
-14666_6825,Afternoon (12-17),Spring,0
-14666_6825,Afternoon (12-17),Summer,0
-14666_6825,Afternoon (12-17),Fall,0
-14666_6825,Evening (18-23),Winter,0
